Judet,Indicativ,Regiune,Populatie
Alba,ab,c,381185
Arges,ag,s,646530
Arad,ar,v,474347
Municipiul Bucuresti,b,b,2107399
Bacau,bc,ne,747689
Bihor,bh,nv,619475
Bistrita-Nasaud,bn,nv,329490
Braila,br,se,356380
Botosani,bt,ne,456404
Brasov,bv,c,631356
Buzau,bz,se,479018
Cluj,cj,nv,722438
Calarasi,cl,s,317592
Caras-Severin,cs,v,328297
Constanta,ct,se,770220
Covasna,cv,c,228852
Dambovita,db,s,528791
Dolj,dj,sv,700840
Gorj,gj,sv,366429
Galati,gl,se,632255
Giurgiu,gr,s,276930
Hunedoara,hd,v,470223
Harghita,hr,c,333789
Ilfov,if,b,390919
Ialomita,il,s,293940
Iasi,is,ne,921056
Mehedinti,mh,sv,287005
Maramures,mm,nv,526197
Mures,ms,c,596352
Neamt,nt,ne,578007
Olt,ot,sv,450333
Prahova,ph,s,809394
Sibiu,sb,c,464513
Salaj,sj,nv,247702
Satu Mare,sm,nv,390939
Suceava,sv,ne,744854
Tulcea,tl,se,244392
Timis,tm,v,743427
Teleorman,tr,s,389670
Valcea,vl,sv,403311
Vrancea,vn,se,391586
Vaslui,vs,ne,481272
